A move is represented by a number, which is the index (going from right to left, starting at 0) of the position to be occupied.
For example, Move: 0 indicates that the player occupied the bottom right square.
[__x____xo] Move: 2, q-value: 0.8675804138183594
Move: 3, q-value: 0.7076209299266338
Move: 4, q-value: 0.9429931640625
Move: 5, q-value: 0.459716796875
Move: 7, q-value: 0.6542177200317383
Move: 8, q-value: 0.7987060546875
[__x___x_o] Move: 1, q-value: 0.99871826171875
Move: 3, q-value: 0.8497314453125
Move: 4, q-value: 0.8972832262516022
Move: 5, q-value: 0.931610107421875
Move: 7, q-value: 0.973541259765625
Move: 8, q-value: 0.9111328125
[__x__x__o] Move: 1, q-value: 0.9639015000150917
Move: 2, q-value: 0.652587890625
